0 81 162 243
0 83 164 245
0 84 165 246
0 86 167 248
0 88 169 250
1 82 172 244
2 81 180 243
2 83 182 245
2 84 183 246
2 88 187 250
2 89 188 251
3 85 193 256
3 86 194 257
3 87 195 258
3 88 196 259
3 89 197 260
4 81 198 252
4 84 201 255
4 86 203 257
4 87 204 258
4 89 206 260
5 81 207 252
5 84 210 255
5 85 211 256
5 86 212 257
5 88 214 259
5 89 215 260
6 81 216 261
6 83 218 263
6 88 223 268
6 89 224 269
7 85 229 265
7 87 231 267
7 88 232 268
7 89 233 269
8 83 236 263
8 85 238 265
8 87 240 267
8 88 241 268
8 89 242 269
9 92 164 245
9 93 165 246
9 97 169 250
10 92 173 245
10 93 174 246
10 97 178 250
10 98 179 251
11 92 182 245
11 93 183 246
11 97 187 250
11 98 188 251
12 94 193 256
12 96 195 258
12 97 196 259
12 98 197 260
13 93 201 255
13 96 204 258
13 98 206 260
14 91 208 253
16 90 225 261
16 94 229 265
16 96 231 267
16 97 232 268
16 98 233 269
17 95 239 266
18 104 167 248
18 106 169 250
19 105 177 249
20 103 184 247
21 104 194 257
21 106 196 259
21 107 197 260
22 101 200 254
23 99 207 252
23 104 212 257
23 106 214 259
23 107 215 260
24 102 219 264
25 100 226 262
25 106 232 268
25 107 233 269
26 100 235 262
26 106 241 268
26 107 242 269
27 110 164 272
27 111 165 273
27 113 167 275
27 114 168 276
27 115 169 277
28 112 175 274
29 108 180 270
29 110 182 272
29 111 183 273
29 114 186 276
29 115 187 277
29 116 188 278
30 113 194 284
30 116 197 287
31 109 199 280
32 108 207 279
32 110 209 281
32 113 212 284
32 116 215 287
33 108 216 288
33 110 218 290
33 113 221 293
33 115 223 295
33 116 224 296
34 111 228 291
34 114 231 294
34 115 232 295
34 116 233 296
35 110 236 290
35 111 237 291
35 114 240 294
35 115 241 295
35 116 242 296
36 119 164 272
36 122 167 275
36 124 169 277
37 117 171 270
37 119 173 272
37 122 176 275
37 124 178 277
37 125 179 278
38 118 181 271
39 120 192 282
40 117 198 279
40 122 203 284
40 125 206 287
41 123 213 285
42 121 220 292
43 124 232 295
43 125 233 296
44 119 236 290
44 124 241 295
44 125 242 296
45 128 164 272
45 129 165 273
45 131 167 275
45 132 168 276
46 128 173 272
46 129 174 273
46 131 176 275
46 134 179 278
47 128 182 272
47 129 183 273
47 132 186 276
47 134 188 278
48 130 193 283
48 131 194 284
48 134 197 287
49 133 205 286
50 128 209 281
50 130 211 283
50 131 212 284
50 134 215 287
51 127 217 289
51 128 218 290
51 131 221 293
51 134 224 296
53 126 234 288
53 127 235 289
53 128 236 290
53 129 237 291
53 132 240 294
53 134 242 296
54 136 163 298
54 138 165 300
54 142 169 304
55 138 174 300
55 142 178 304
56 140 185 302
57 136 190 307
57 142 196 313
57 143 197 314
58 139 202 310
59 135 207 306
59 138 210 309
59 142 214 313
59 143 215 314
60 141 222 321
61 137 227 317
62 136 235 316
62 138 237 318
62 142 241 322
62 143 242 323
63 152 170 305
64 147 174 300
64 151 178 304
66 146 191 308
67 147 201 309
67 149 203 311
67 150 204 312
68 147 210 309
68 149 212 311
68 151 214 313
69 145 217 316
69 151 223 322
70 145 226 316
70 147 228 318
70 148 229 319
70 151 232 322
71 145 235 316
71 147 237 318
71 148 238 319
71 151 241 322
72 154 163 298
72 155 164 299
72 156 165 300
72 157 166 301
72 159 168 303
72 160 169 304
73 155 173 299
73 156 174 300
73 160 178 304
74 155 182 299
74 156 183 300
74 159 186 303
74 160 187 304
75 154 190 307
75 159 195 312
75 160 196 313
75 161 197 314
76 153 198 306
76 156 201 309
76 159 204 312
76 161 206 314
77 153 207 306
77 156 210 309
77 160 214 313
77 161 215 314
78 153 216 315
78 154 217 316
78 160 223 322
78 161 224 323
79 158 230 320
80 154 235 316
80 156 237 318
80 157 238 319
80 160 241 322
80 161 242 323
