324
208
0 81 162 243
0 86 167 248
0 88 169 250
1 81 171 243
1 84 174 246
1 88 178 250
2 85 184 247
3 89 197 260
4 81 198 252
4 83 200 254
4 86 203 257
4 87 204 258
4 88 205 259
5 83 209 254
5 87 213 258
6 81 216 261
6 83 218 263
6 86 221 266
6 87 222 267
7 81 225 261
7 83 227 263
7 86 230 266
7 87 231 267
8 82 235 262
9 90 162 243
9 91 163 244
9 95 167 248
9 97 169 250
9 98 170 251
10 92 173 245
11 90 180 243
11 91 181 244
11 95 185 248
11 97 187 250
11 98 188 251
12 90 189 252
12 95 194 257
12 96 195 258
13 94 202 256
14 91 208 253
14 96 213 258
15 90 216 261
15 95 221 266
15 96 222 267
16 93 228 264
17 95 239 266
18 105 168 249
19 99 171 243
19 100 172 244
19 107 179 251
20 99 180 243
20 100 181 244
20 104 185 248
20 107 188 251
21 99 189 252
21 101 191 254
21 104 194 257
22 99 198 252
22 100 199 253
22 101 200 254
22 104 203 257
23 102 210 255
24 106 223 268
25 99 225 261
25 101 227 263
25 104 230 266
25 107 233 269
26 101 236 263
26 103 238 265
26 104 239 266
27 111 165 273
28 108 171 270
28 109 172 271
28 115 178 277
28 116 179 278
29 108 180 270
29 109 181 271
29 115 187 277
29 116 188 278
30 108 189 279
30 110 191 281
30 114 195 285
31 108 198 279
31 109 199 280
31 110 200 281
31 114 204 285
31 116 206 287
32 113 212 284
33 112 220 292
34 109 226 289
34 110 227 290
34 114 231 294
34 115 232 295
35 110 236 290
35 115 241 295
36 118 163 271
36 122 167 275
36 124 169 277
36 125 170 278
37 123 177 276
38 118 181 271
38 122 185 275
38 124 187 277
38 125 188 278
39 119 191 281
39 121 193 283
40 120 201 282
41 118 208 280
41 119 209 281
41 121 211 283
41 125 215 287
42 118 217 289
42 119 218 290
42 122 221 293
44 117 234 288
44 119 236 290
44 122 239 293
44 124 241 295
45 127 163 271
45 131 167 275
46 126 171 270
46 127 172 271
46 130 175 274
47 128 182 272
48 133 196 286
49 126 198 279
49 127 199 280
49 132 204 285
50 127 208 280
50 130 211 283
50 132 213 285
51 126 216 288
51 127 217 289
51 129 219 291
51 131 221 293
51 132 222 294
52 127 226 289
52 131 230 293
52 132 231 294
53 134 242 296
54 137 164 299
54 142 169 304
54 143 170 305
55 135 171 297
55 142 178 304
55 143 179 305
56 138 183 300
57 136 190 307
58 137 200 308
58 140 203 311
58 143 206 314
59 137 209 308
59 139 211 310
59 143 215 314
60 137 218 317
60 140 221 320
61 135 225 315
61 137 227 317
61 140 230 320
61 142 232 322
62 141 240 321
63 144 162 297
63 145 163 298
63 146 164 299
63 151 169 304
63 152 170 305
64 149 176 302
65 145 181 298
65 150 186 303
65 151 187 304
65 152 188 305
66 146 191 308
66 147 192 309
66 150 195 312
68 144 207 306
68 146 209 308
68 150 213 312
68 152 215 314
69 145 217 316
69 146 218 317
69 147 219 318
70 148 229 319
71 146 236 317
71 147 237 318
71 151 241 322
72 157 166 301
73 153 171 297
73 154 172 298
74 153 180 297
74 154 181 298
74 159 186 303
75 153 189 306
75 155 191 308
75 156 192 309
75 158 194 311
75 159 195 312
76 155 200 308
76 158 203 311
76 159 204 312
77 160 214 313
78 161 224 323
79 153 225 315
79 154 226 316
79 155 227 317
79 158 230 320
80 155 236 317
80 156 237 318
80 158 239 320
