324
253
0 81 162 243
0 82 163 244
0 83 164 245
0 84 165 246
0 85 166 247
0 86 167 248
0 89 170 251
1 82 172 244
1 83 173 245
1 84 174 246
1 85 175 247
2 81 180 243
2 82 181 244
2 84 183 246
2 85 184 247
2 86 185 248
2 89 188 251
3 84 192 255
3 88 196 259
3 89 197 260
4 81 198 252
4 82 199 253
4 84 201 255
4 87 204 258
4 89 206 260
5 81 207 252
5 84 210 255
5 87 213 258
5 89 215 260
6 83 218 263
6 84 219 264
6 85 220 265
6 86 221 266
6 89 224 269
7 82 226 262
7 85 229 265
7 86 230 266
7 87 231 267
7 89 233 269
8 82 235 262
8 83 236 263
8 84 237 264
8 85 238 265
8 86 239 266
8 87 240 267
8 89 242 269
9 90 162 243
9 91 163 244
9 93 165 246
9 95 167 248
9 98 170 251
10 91 172 244
10 93 174 246
11 96 186 249
12 94 193 256
13 90 198 252
13 91 199 253
13 93 201 255
13 98 206 260
14 92 209 254
15 97 223 268
16 91 226 262
16 95 230 266
16 98 233 269
17 91 235 262
17 93 237 264
17 95 239 266
17 98 242 269
18 100 163 244
18 101 164 245
18 102 165 246
18 103 166 247
18 107 170 251
19 106 178 250
20 100 181 244
20 102 183 246
20 103 184 247
20 107 188 251
21 102 192 255
21 107 197 260
22 104 203 257
23 102 210 255
23 105 213 258
23 107 215 260
24 101 218 263
24 102 219 264
24 103 220 265
24 107 224 269
25 99 225 261
26 100 235 262
26 101 236 263
26 102 237 264
26 103 238 265
26 105 240 267
26 107 242 269
27 111 165 273
27 112 166 274
27 113 167 275
27 114 168 276
28 116 179 278
29 111 183 273
29 112 184 274
29 113 185 275
30 108 189 279
31 110 200 281
31 111 201 282
32 109 208 280
33 110 218 290
33 112 220 292
33 113 221 293
34 115 232 295
35 110 236 290
35 112 238 292
35 113 239 293
35 114 240 294
36 120 165 273
36 122 167 275
36 123 168 276
36 124 169 277
37 120 174 273
37 123 177 276
38 119 182 272
39 120 192 282
39 122 194 284
39 125 197 287
40 121 202 283
41 120 210 282
41 122 212 284
41 125 215 287
42 118 217 289
43 122 230 293
43 123 231 294
43 125 233 296
44 117 234 288
44 122 239 293
44 123 240 294
44 125 242 296
45 127 163 271
45 130 166 274
45 131 167 275
46 126 171 270
47 127 181 271
47 130 184 274
47 131 185 275
48 132 195 285
49 128 200 281
49 134 206 287
50 133 214 286
51 128 218 290
51 130 220 292
51 131 221 293
51 134 224 296
52 129 228 291
53 128 236 290
53 130 238 292
53 131 239 293
53 134 242 296
54 135 162 297
54 136 163 298
54 138 165 300
54 139 166 301
54 141 168 303
54 143 170 305
55 140 176 302
56 135 180 297
56 136 181 298
56 138 183 300
56 139 184 301
56 143 188 305
57 138 192 309
57 143 197 314
58 142 205 313
59 135 207 306
59 138 210 309
59 141 213 312
59 143 215 314
60 135 216 315
60 138 219 318
60 139 220 319
60 143 224 323
61 137 227 317
62 135 234 315
62 136 235 316
62 138 237 318
62 139 238 319
62 143 242 323
63 144 162 297
63 146 164 299
63 147 165 300
63 152 170 305
64 146 173 299
64 147 174 300
65 151 187 304
66 145 190 307
67 144 198 306
67 146 200 308
67 147 201 309
67 152 206 314
68 148 211 310
69 150 222 321
70 149 230 320
70 152 233 323
71 144 234 315
71 147 237 318
71 149 239 320
71 152 242 323
72 153 162 297
72 154 163 298
72 155 164 299
72 156 165 300
72 157 166 301
72 159 168 303
72 161 170 305
73 154 172 298
73 155 173 299
73 156 174 300
73 157 175 301
73 159 177 303
74 153 180 297
74 154 181 298
74 156 183 300
74 157 184 301
74 161 188 305
75 155 191 308
75 156 192 309
75 158 194 311
75 161 197 314
76 153 198 306
76 155 200 308
76 156 201 309
76 159 204 312
76 161 206 314
77 153 207 306
77 156 210 309
77 158 212 311
77 159 213 312
77 161 215 314
78 153 216 315
78 156 219 318
78 157 220 319
78 158 221 320
78 161 224 323
79 154 226 316
79 157 229 319
79 158 230 320
79 161 233 323
80 153 234 315
80 154 235 316
80 156 237 318
80 157 238 319
80 158 239 320
80 160 241 322
80 161 242 323
5 10 11 18 21 28 29 37 41 50 52 53 54 55 59 60 61 66 69 73 74 78 80 82 87 88 92 96 99 100 103 104 106 109 110 114 118 120 121 123 125 126 129 132 133 137 140 143 144 146 147 149 152 153 161 163 167 170 171 172 177 180 182 186 190 192 193 196 198 199 200 205 209 213 222 223 230 234 237 243 251
