0 81 162 243
0 82 163 244
0 83 164 245
0 84 165 246
0 85 166 247
0 86 167 248
0 87 168 249
0 88 169 250
0 89 170 251
1 81 171 243
1 82 172 244
1 83 173 245
1 84 174 246
1 85 175 247
1 86 176 248
1 87 177 249
1 88 178 250
1 89 179 251
2 81 180 243
2 82 181 244
2 83 182 245
2 84 183 246
2 85 184 247
2 86 185 248
2 87 186 249
2 88 187 250
2 89 188 251
3 81 189 252
3 82 190 253
3 83 191 254
3 84 192 255
3 85 193 256
3 86 194 257
3 87 195 258
3 88 196 259
3 89 197 260
4 81 198 252
4 82 199 253
4 83 200 254
4 84 201 255
4 85 202 256
4 86 203 257
4 87 204 258
4 88 205 259
4 89 206 260
5 81 207 252
5 82 208 253
5 83 209 254
5 84 210 255
5 85 211 256
5 86 212 257
5 87 213 258
5 88 214 259
5 89 215 260
6 81 216 261
6 82 217 262
6 83 218 263
6 84 219 264
6 85 220 265
6 86 221 266
6 87 222 267
6 88 223 268
6 89 224 269
7 81 225 261
7 82 226 262
7 83 227 263
7 84 228 264
7 85 229 265
7 86 230 266
7 87 231 267
7 88 232 268
7 89 233 269
8 81 234 261
8 82 235 262
8 83 236 263
8 84 237 264
8 85 238 265
8 86 239 266
8 87 240 267
8 88 241 268
8 89 242 269
9 90 162 243
9 91 163 244
9 92 164 245
9 93 165 246
9 94 166 247
9 95 167 248
9 96 168 249
9 97 169 250
9 98 170 251
10 90 171 243
10 91 172 244
10 92 173 245
10 93 174 246
10 94 175 247
10 95 176 248
10 96 177 249
10 97 178 250
10 98 179 251
11 90 180 243
11 91 181 244
11 92 182 245
11 93 183 246
11 94 184 247
11 95 185 248
11 96 186 249
11 97 187 250
11 98 188 251
12 90 189 252
12 91 190 253
12 92 191 254
12 93 192 255
12 94 193 256
12 95 194 257
12 96 195 258
12 97 196 259
12 98 197 260
13 90 198 252
13 91 199 253
13 92 200 254
13 93 201 255
13 94 202 256
13 95 203 257
13 96 204 258
13 97 205 259
13 98 206 260
14 90 207 252
14 91 208 253
14 92 209 254
14 93 210 255
14 94 211 256
14 95 212 257
14 96 213 258
14 97 214 259
14 98 215 260
15 90 216 261
15 91 217 262
15 92 218 263
15 93 219 264
15 94 220 265
15 95 221 266
15 96 222 267
15 97 223 268
15 98 224 269
16 90 225 261
16 91 226 262
16 92 227 263
16 93 228 264
16 94 229 265
16 95 230 266
16 96 231 267
16 97 232 268
16 98 233 269
17 90 234 261
17 91 235 262
17 92 236 263
17 93 237 264
17 94 238 265
17 95 239 266
17 96 240 267
17 97 241 268
17 98 242 269
18 99 162 243
18 100 163 244
18 101 164 245
18 102 165 246
18 103 166 247
18 104 167 248
18 105 168 249
18 106 169 250
18 107 170 251
19 99 171 243
19 100 172 244
19 101 173 245
19 102 174 246
19 103 175 247
19 104 176 248
19 105 177 249
19 106 178 250
19 107 179 251
20 99 180 243
20 100 181 244
20 101 182 245
20 102 183 246
20 103 184 247
20 104 185 248
20 105 186 249
20 106 187 250
20 107 188 251
21 99 189 252
21 100 190 253
21 101 191 254
21 102 192 255
21 103 193 256
21 104 194 257
21 105 195 258
21 106 196 259
21 107 197 260
22 99 198 252
22 100 199 253
22 101 200 254
22 102 201 255
22 103 202 256
22 104 203 257
22 105 204 258
22 106 205 259
22 107 206 260
23 99 207 252
23 100 208 253
23 101 209 254
23 102 210 255
23 103 211 256
23 104 212 257
23 105 213 258
23 106 214 259
23 107 215 260
24 99 216 261
24 100 217 262
24 101 218 263
24 102 219 264
24 103 220 265
24 104 221 266
24 105 222 267
24 106 223 268
24 107 224 269
25 99 225 261
25 100 226 262
25 101 227 263
25 102 228 264
25 103 229 265
25 104 230 266
25 105 231 267
25 106 232 268
25 107 233 269
26 99 234 261
26 100 235 262
26 101 236 263
26 102 237 264
26 103 238 265
26 104 239 266
26 105 240 267
26 106 241 268
26 107 242 269
27 108 162 270
27 109 163 271
27 110 164 272
27 111 165 273
27 112 166 274
27 113 167 275
27 114 168 276
27 115 169 277
27 116 170 278
28 108 171 270
28 109 172 271
28 110 173 272
28 111 174 273
28 112 175 274
28 113 176 275
28 114 177 276
28 115 178 277
28 116 179 278
29 108 180 270
29 109 181 271
29 110 182 272
29 111 183 273
29 112 184 274
29 113 185 275
29 114 186 276
29 115 187 277
29 116 188 278
30 108 189 279
30 109 190 280
30 110 191 281
30 111 192 282
30 112 193 283
30 113 194 284
30 114 195 285
30 115 196 286
30 116 197 287
31 108 198 279
31 109 199 280
31 110 200 281
31 111 201 282
31 112 202 283
31 113 203 284
31 114 204 285
31 115 205 286
31 116 206 287
32 108 207 279
32 109 208 280
32 110 209 281
32 111 210 282
32 112 211 283
32 113 212 284
32 114 213 285
32 115 214 286
32 116 215 287
33 108 216 288
33 109 217 289
33 110 218 290
33 111 219 291
33 112 220 292
33 113 221 293
33 114 222 294
33 115 223 295
33 116 224 296
34 108 225 288
34 109 226 289
34 110 227 290
34 111 228 291
34 112 229 292
34 113 230 293
34 114 231 294
34 115 232 295
34 116 233 296
35 108 234 288
35 109 235 289
35 110 236 290
35 111 237 291
35 112 238 292
35 113 239 293
35 114 240 294
35 115 241 295
35 116 242 296
36 117 162 270
36 118 163 271
36 119 164 272
36 120 165 273
36 121 166 274
36 122 167 275
36 123 168 276
36 124 169 277
36 125 170 278
37 117 171 270
37 118 172 271
37 119 173 272
37 120 174 273
37 121 175 274
37 122 176 275
37 123 177 276
37 124 178 277
37 125 179 278
38 117 180 270
38 118 181 271
38 119 182 272
38 120 183 273
38 121 184 274
38 122 185 275
38 123 186 276
38 124 187 277
38 125 188 278
39 117 189 279
39 118 190 280
39 119 191 281
39 120 192 282
39 121 193 283
39 122 194 284
39 123 195 285
39 124 196 286
39 125 197 287
40 117 198 279
40 118 199 280
40 119 200 281
40 120 201 282
40 121 202 283
40 122 203 284
40 123 204 285
40 124 205 286
40 125 206 287
41 117 207 279
41 118 208 280
41 119 209 281
41 120 210 282
41 121 211 283
41 122 212 284
41 123 213 285
